sintomas,especialidad
Acude por presentar me enronché después de tomar la pastilla de inicio súbito.,Alergología
"Tengo el ojo rojo como tomate, también refiere estoy viendo doble.",Oftalmología
Paciente refiere que anafilaxia de inicio súbito.,Emergencias
Hay presencia de paso estornudando todo el día constante.,Alergología
Hay presencia de prurito vulvar intermitente.,Ginecología
Ayúdeme con cólico renoureteral que no pasa.,Urología
Me da disnea de esfuerzo hace una semana.,Cardiología
"Veo lucecitas antes de que me duela la cabeza, sumado a siento hormigueo en medio cuerpo.",Neurología
Me da me quedé sordo de golpe intermitente.,Otorrinolaringología
Indica tener fenómeno de Raynaud que no pasa.,Reumatología
"Estoy amarillo como patito, también refiere tengo el colon inflamado.",Gastroenterología
Manifiesta la presión no me baja con nada constante.,Nefrología
"Dolor poliarticular, sumado a rigidez articular.",Reumatología
Ayúdeme con hipertensión arterial descontrolada de inicio súbito.,Cardiología
Hay presencia de tengo sarpullido que pica mucho de inicio súbito.,Dermatología
Disnea de esfuerzo y además palpitaciones taquicárdicas.,Cardiología
"Reflujo gastroesofágico, sumado a epigastralgia urente.",Gastroenterología
Me da herida cortopunzante profusa intermitente.,Emergencias
Diaforesis excesiva con temblor distal fino.,Endocrinología
Manifiesta tengo mal aliento que no pasa.,Odontología
Me da intoxicación exógena constante.,Emergencias
Se está hinchando todo y no respira y además se tomó un veneno.,Emergencias
Tengo prurito vulvar constante.,Ginecología
Paciente refiere que le salieron granitos en todo el cuerpo constante.,Pediatría
Tengo deformidad articular desde hace 3 días.,Reumatología
Siento que dermatitis de contacto desde hace 3 días.,Alergología
Presenta parestesias en hemicuerpo y dice que veo lucecitas antes de que me duela la cabeza.,Neurología
Siento que bruxismo constante.,Odontología
Presento me siento una bola dura que no duele constante.,Oncología
Indica tener cólico renoureteral desde hace 3 días.,Urología
Paciente refiere que proteinuria espumosa constante.,Nefrología
Desde ayer tengo crisis convulsiva tónico-clónica desde esta mañana.,Neurología
Tengo me estoy secando de lo flaco que no pasa.,Oncología
Se queja de epigastralgia urente hace una semana.,Gastroenterología
"Doctor, tengo no puedo pegar el ojo en toda la noche que no pasa.",Psiquiatría
"Quemadura de segundo grado, acompañado de intoxicación exógena.",Emergencias
Hay presencia de se me están enchuecando los dedos intermitente.,Reumatología
Me quedé sordo de golpe con no puedo ni tragar del dolor de garganta.,Otorrinolaringología
"Gingivorragia, también refiere bruxismo.",Odontología
Indica tener dolor precordial opresivo de inicio súbito.,Cardiología
Siento que siento como una pata de elefante en el pecho de inicio súbito.,Cardiología
Presento dermatitis de contacto desde esta mañana.,Alergología
Manifiesta amanezco tieso hace una semana.,Reumatología
Estoy tosiendo sangre y además me chilla el pecho al respirar.,Neumología
Desde ayer tengo micosis cutánea desde hace 3 días.,Dermatología
Manifiesta hematuria macroscópica desde esta mañana.,Urología
Se queja de dermatitis atópica desde hace 3 días.,Dermatología
Herida cortopunzante profusa y además traumatismo craneoencefálico.,Emergencias
Tengo prurito vulvar hace una semana.,Ginecología
Me da intolerancia al frío que no pasa.,Endocrinología
Hay presencia de alucinaciones auditivas desde hace 3 días.,Psiquiatría
Acude por presentar edema en miembros inferiores desde esta mañana.,Cardiología
Se queja de se quemó con agua hirviendo constante.,Emergencias
"Me siento decaído y sin fuerzas, acompañado de me duele todo el cuerpo.",Medicina General
Me da me cae mal todo lo que como hace una semana.,Gastroenterología
Siento que ya no hago del baño como antes de inicio súbito.,Oncología
Me da me palpita feo el corazón intermitente.,Cardiología
Paciente refiere que hipertensión resistente desde esta mañana.,Nefrología
Me da casi no estoy orinando nada de inicio súbito.,Nefrología
Siento que me siento muy nervioso y con miedo desde esta mañana.,Psiquiatría
Disfagia progresiva con pérdida de peso caquectizante.,Oncología
"Mastalgia cíclica, acompañado de prurito vulvar.",Ginecología
Se queja de disuria y polaquiuria que no pasa.,Urología
Tengo las piernas hinchadas como tamal con me hinca el corazón.,Cardiología
Ayúdeme con amanecí con los ojos hinchados constante.,Nefrología
Ayúdeme con dermatitis atópica hace una semana.,Dermatología
Me da me enronché después de tomar la pastilla desde hace 3 días.,Alergología
Presento edema angioneurótico que no pasa.,Alergología
Se me hinchó la boca y los ojos y siente me salió alergia por tocar algo.,Alergología
Me da tengo una picazón allá abajo intermitente.,Ginecología
Se queja de se me salió el hueso hace una semana.,Traumatología
"Paso con frío todo el tiempo, también refiere estoy engordando sin comer tanto.",Endocrinología
Presento cambios en hábito intestinal intermitente.,Oncología
Paciente refiere que bruxismo que no pasa.,Odontología
Presento cambios en hábito intestinal que no pasa.,Oncología
Herida cortopunzante profusa y además quemadura de segundo grado.,Emergencias
Paciente refiere que alucinaciones auditivas desde esta mañana.,Psiquiatría
"Síncope vasovagal, sumado a dolor precordial opresivo.",Cardiología
Indica tener intolerancia al frío hace una semana.,Endocrinología
Se queja de fractura expuesta desde hace 3 días.,Traumatología
Ayúdeme con angina de pecho estable desde esta mañana.,Cardiología
"Vértigo posicional, sumado a odinofagia intensa.",Otorrinolaringología
Tengo disfunción eréctil desde esta mañana.,Urología
"Erupción exantemática, acompañado de tos ferina.",Pediatría
"Doctor, tengo ictericia marcada constante.",Gastroenterología
Siento que dispepsia funcional constante.,Gastroenterología
Siento que tengo mal aliento hace una semana.,Odontología
Ayúdeme con escucho voces que nadie más oye desde hace 3 días.,Psiquiatría
Me da estoy amarillo como patito que no pasa.,Gastroenterología
Astenia y adinamia con dolor musculoesquelético difuso.,Medicina General
Tengo edema en miembros inferiores hace una semana.,Cardiología
"Doctor, tengo aumento de peso injustificado que no pasa.",Endocrinología
"Casi no estoy orinando nada, también refiere la presión no me baja con nada.",Nefrología
Me da paso estornudando todo el día hace una semana.,Alergología
Me da me siento muy nervioso y con miedo intermitente.,Psiquiatría
Acude por presentar epigastralgia urente hace una semana.,Gastroenterología
Tengo edema y equimosis post-traumática desde hace 3 días.,Traumatología
Presento estoy engordando sin comer tanto hace una semana.,Endocrinología
Presento fiebre de origen desconocido desde hace 3 días.,Infectología
"Doctor, tengo hipertensión resistente desde hace 3 días.",Nefrología
Tengo el colon inflamado con me arde la boca del estómago.,Gastroenterología
"Doctor, tengo me punza la espalda al respirar desde esta mañana.",Neumología
Manifiesta me ahogo cuando estoy durmiendo constante.,Neumología
Cefalea tensional holocraneal y siente crisis convulsiva tónico-clónica.,Neurología
Tengo sarpullido que pica mucho con me salió un lunar raro.,Dermatología
Siento que se me está cayendo el pelo por parches intermitente.,Dermatología
Paciente refiere que migraña con aura que no pasa.,Neurología
Rigidez articular y siente fenómeno de Raynaud.,Reumatología
"Estoy viendo doble, sumado a veo mosquitas volando.",Oftalmología
Desde ayer tengo me duele la espalda baja a los lados desde hace 3 días.,Nefrología
Presenta herida cortopunzante profusa y dice que se está hinchando todo y no respira.,Emergencias
Edema en miembros inferiores con angina de pecho estable.,Cardiología
La orina sale con mucha espuma y siente me duele la espalda baja a los lados.,Nefrología
"Disminución de la agudeza visual, acompañado de miodesopsias.",Oftalmología
Manifiesta me arde la boca del estómago desde esta mañana.,Gastroenterología
Tengo no puedo ni tragar del dolor de garganta constante.,Otorrinolaringología
"Doctor, tengo disfagia progresiva de inicio súbito.",Oncología
"Sudoración nocturna, acompañado de adenopatías generalizadas.",Infectología
Siento que tengo una picazón allá abajo desde esta mañana.,Ginecología
"Doctor, tengo me salió alergia por tocar algo desde esta mañana.",Alergología
Amanezco tieso y además se me están enchuecando los dedos.,Reumatología
Siento que me ahogo cuando estoy durmiendo de inicio súbito.,Neumología
"Doctor, tengo sangrado uterino anormal hace una semana.",Ginecología
Siento que prurito vulvar que no pasa.,Ginecología
Presenta fiebre de origen desconocido y dice que mojo la cama de sudor en la noche.,Infectología
Acude por presentar siento como una pata de elefante en el pecho desde hace 3 días.,Cardiología
Se queja de todo lo que come lo vomita hace una semana.,Pediatría
Manifiesta bruxismo desde hace 3 días.,Odontología
Ayúdeme con rigidez articular hace una semana.,Reumatología
Acude por presentar hipertensión resistente desde hace 3 días.,Nefrología
Ayúdeme con rinitis alérgica estacional constante.,Alergología
Proteinuria espumosa y siente oliguria.,Nefrología
Tengo deformidad articular hace una semana.,Reumatología
Presenta micosis cutánea y dice que tengo la cara llena de granos feos.,Dermatología
Manifiesta disfunción eréctil hace una semana.,Urología
Me da se me atranca la comida al pasar intermitente.,Oncología
Siento que crisis convulsiva tónico-clónica de inicio súbito.,Neurología
Siento que ánimo depresivo persistente constante.,Psiquiatría
Indica tener alopecia areata intermitente.,Dermatología
Acude por presentar tengo las piernas hinchadas como tamal desde esta mañana.,Cardiología
"Tengo un descenso que huele mal, acompañado de tengo una picazón allá abajo.",Ginecología
Hay presencia de me arde la boca del estómago desde esta mañana.,Gastroenterología
Tengo limitación funcional articular intermitente.,Traumatología
Hay presencia de tengo sangre en las heces hace una semana.,Oncología
Temblor distal fino y además aumento de peso injustificado.,Endocrinología
Acude por presentar no puedo ni tragar del dolor de garganta que no pasa.,Otorrinolaringología
Ayúdeme con fiebre de origen desconocido intermitente.,Infectología
Presenta epistaxis anterior y dice que me quedé sordo de golpe.,Otorrinolaringología
Siento que intolerancia al frío hace una semana.,Endocrinología
Paciente refiere que sangrado uterino anormal hace una semana.,Ginecología
Presento la luz me molesta muchísimo desde esta mañana.,Oftalmología
"Me chilla el pecho al respirar, también refiere me ahogo cuando estoy durmiendo.",Neumología
Presento me duele mucho un testículo desde hace 3 días.,Urología
Acude por presentar tos ferina intermitente.,Pediatría
"Me duele mucho un testículo, sumado a me arde para orinar y voy a cada rato.",Urología
"Tiene una tos que no se le quita, también refiere le salieron granitos en todo el cuerpo.",Pediatría
Hay presencia de dolor abdominal inespecífico que no pasa.,Medicina General
Presento nevus displásico que no pasa.,Dermatología
Ayúdeme con tengo problemas de potencia sexual constante.,Urología
Me estoy secando de lo flaco y siente se me atranca la comida al pasar.,Oncología
Acude por presentar se me ponen los dedos blancos con el frío intermitente.,Reumatología
Se queja de me tiemblan las manos desde esta mañana.,Endocrinología
Siento que adenopatías generalizadas desde hace 3 días.,Infectología
Desde ayer tengo me ahogo cuando estoy durmiendo constante.,Neumología
Micosis cutánea con alopecia areata.,Dermatología
Acude por presentar edema en miembros inferiores de inicio súbito.,Cardiología
Hay presencia de dermatitis de contacto que no pasa.,Alergología
Manifiesta tengo sarpullido que pica mucho desde esta mañana.,Dermatología
Indica tener dolor abdominal inespecífico de inicio súbito.,Medicina General
Manifiesta disuria y polaquiuria hace una semana.,Urología
Presento fiebre de origen desconocido hace una semana.,Infectología
Indica tener se está hinchando todo y no respira intermitente.,Emergencias
Presenta intolerancia al frío y dice que sudo demasiado sin hacer nada.,Endocrinología
